"Store","Type","Size","People"
1,"A",151315,"40.0"
2,"A",202307,"38.0"
3,"B",37392,"12.0"
4,"A",205863,"30.0"
5,"B",34875,"8.0"
6,"A",202505,"50.0"
7,"B",70713,"25.0"
8,"A",155078,"24.0"
9,"B",125833,"45.0"
10,"B",126512,"47.0"
11,"A",207499,"43.0"
12,"B",112238,"61.0"
13,"A",219622,"37.0"
14,"A",200898,"41.0"
15,"B",123737,"39.0"
16,"B",57197,"23.0"
17,"B",93188,"41.0"
18,"B",120653,"45.0"
19,"A",203819,"35.0"
20,"A",203742,"36.0"
21,"B",140167,"42.0"
22,"B",119557,"61.0"
23,"B",114533,"45.0"
24,"A",203819,"56.0"
25,"B",128107,"46.0"
26,"A",152513,"42.0"
27,"A",204184,"35.0"
28,"A",206302,"41.0"
29,"B",93638,"46.0"
30,"C",42988,"17.0"
31,"A",203750,"34.0"
32,"A",203007,"34.0"
33,"A",39690,"7.0"
34,"A",158114,"33.0"
35,"B",103681,"44.0"
36,"A",39910,"10.0"
37,"C",39910,"14.0"
38,"C",39690,"29.0"
39,"A",184109,"31.0"
40,"A",155083,"30.0"
41,"A",196321,"43.0"
42,"C",39690,"20.0"
43,"C",41062,"18.0"
44,"C",39910,"16.0"
45,"B",118221,"54.0"
